Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i7-4700EC Processor (8M Cache, up to 2.70 GHz) FC-BGA12F, Tray",Ordering Code,CL8064701830000
"Intel® Core™ i7-4700EC Processor (8M Cache, up to 2.70 GHz) FC-BGA12F, Tray",Spec Code,SR1VZ
"Intel® Core™ i7-4700EC Processor (8M Cache, up to 2.70 GHz) FC-BGA12F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-4700EC Processor (8M Cache, up to 2.70 GHz) FC-BGA12F, Tray",Stepping,C0
"Intel® Core™ i7-4700EC Processor (8M Cache, up to 2.70 GHz) FC-BGA12F, Tray",MDDS Content IDs,707973
"Intel® Core™ i7-4700EC Processor (8M Cache, up to 2.70 GHz) FC-BGA12F, Tray",PCN Content IDs,"797272,795943,799686,799624,802395,804340,803212,805104,804391,809238,809472,813819,813820,813824"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
