Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Ordering Code,CW8064701474105
"Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Spec Code,SR1PT
"Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Stepping,C0
"Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",MDDS Content IDs,706984
"Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",PCN Content IDs,"799624,799686,799685,802395,805104,802705,809238,809375,813819"
"Boxed Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F",Ordering Code,BX80647I74910MQ
"Boxed Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F",Spec Code,SR1PT
"Boxed Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F",Shipping Media,BOX
"Boxed Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F",Stepping,C0
"Boxed Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F",MDDS Content IDs,"806639,806717,808891,809439"
"Boxed Intel® Core™ i7-4910MQ Processor (8M Cache, up to 3.90 GHz) FC-PGA12F",PCN Content IDs,"809439,806639,806717,808891"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
