Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i7-4930MX Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Ordering Code,CW8064701471101
"Intel® Core™ i7-4930MX Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Spec Code,SR15M
"Intel® Core™ i7-4930MX Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-4930MX Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",Stepping,C0
"Intel® Core™ i7-4930MX Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",MDDS Content IDs,706984
"Intel® Core™ i7-4930MX Processor Extreme Edition (8M Cache, up to 3.90 GHz) FC-PGA12F, Tray",PCN Content IDs,"805104,799686,808591,802395,809238,803199,813819,809375,813824"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
