Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i7-5775R Processor (6M Cache, up to 3.80 GHz) FC-BGA14F, Tray",Ordering Code,FH8065802483601
"Intel® Core™ i7-5775R Processor (6M Cache, up to 3.80 GHz) FC-BGA14F, Tray",Spec Code,SR2AL
"Intel® Core™ i7-5775R Processor (6M Cache, up to 3.80 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-5775R Processor (6M Cache, up to 3.80 GHz) FC-BGA14F, Tray",Stepping,G0
"Intel® Core™ i7-5775R Processor (6M Cache, up to 3.80 GHz) FC-BGA14F, Tray",MDDS Content IDs,706772
"Intel® Core™ i7-5775R Processor (6M Cache, up to 3.80 GHz) FC-BGA14F, Tray",PCN Content IDs,"799685,799624,804962,805104"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G071701++
Trade Compliance Information,US HTS,8542310050
