Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, Tray",Ordering Code,CM8064801547964
"Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, Tray",Spec Code,SR20Q
"Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, Tray",Shipping Media,TRAY
"Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, Tray",Stepping,R2
"Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, Tray",MDDS Content IDs,707947
"Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, Tray",PCN Content IDs,"798818,799624,802395,799685,809021,799686,802525,803913,809472"
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A",Ordering Code,BX80648I75960X
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A",Spec Code,SR20Q
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A",Shipping Media,BOX
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A",Stepping,R2
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A",MDDS Content IDs,706462
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A",PCN Content IDs,"805773,798816,806717,803913,808891,809439"
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, for China",Ordering Code,BXC80648I75960X
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, for China",Spec Code,SR20Q
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, for China",Shipping Media,BOX
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, for China",Stepping,R2
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, for China",MDDS Content IDs,"802804,803913,809439"
"Boxed Intel® Core™ i7-5960X Processor Extreme Edition (20M Cache, up to 3.50 GHz) FC-LGA12A, for China",PCN Content IDs,"803913,802804,809439"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
