Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Ordering Code,FH8067703419113
"Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Spec Code,SR3RN
"Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Stepping,B0
"Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",MDDS Content IDs,707738
"Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",PCN Content IDs,"799624,795943,799685,803679"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
