Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i7-9850HL Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Ordering Code,CL8068404165200
"Intel® Core™ i7-9850HL Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Spec Code,SRFEH
"Intel® Core™ i7-9850HL Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-9850HL Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Stepping,U0
"Intel® Core™ i7-9850HL Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",MDDS Content IDs,708128
"Intel® Core™ i7-9850HL Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",PCN Content IDs,809472
"Intel® Core™ i7-9850HL Processor (9M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Recommended Customer Price,$395.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
