Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, Tray",Ordering Code,CM8070104608302
"Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, Tray",Spec Code,SRK51
"Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, Tray",Shipping Media,TRAY
"Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, Tray",Stepping,Q0
"Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, Tray",MDDS Content IDs,"797793,809472"
"Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, Tray",PCN Content IDs,"809472,797793"
"Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, Tray",Recommended Customer Price,$498.00
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A",Ordering Code,BX8070110850KA
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A",Spec Code,SRK51
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A",Shipping Media,BOX
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A",Stepping,Q0
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A",MDDS Content IDs,"706258,706879"
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A",PCN Content IDs,"797793,798811,804577,800306,809083"
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, for China",Ordering Code,BXC8070110850K
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, for China",Spec Code,SRK51
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, for China",Shipping Media,BOX
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, for China",Stepping,Q0
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, for China",MDDS Content IDs,706258
"Boxed Intel® Core™ i9-10850K Processor (20M Cache, up to 5.20 GHz) FC-LGA14A, for China",PCN Content IDs,"798811,797793,800306,804577,809083"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
