Section,Key,Value
Essentials,Product Collection,12th Generation Intel® Core™ i9 Processors
Essentials,Code Name,Products formerly Alder Lake
Essentials,Vertical Segment,Desktop
Essentials,Processor Number,i9-12900KF
Essentials,Lithography,Intel 7
Essentials,Recommended Customer Price,$620.00-$630.00
CPU Specifications,Total Cores,16
CPU Specifications,# of Performance-cores,8
CPU Specifications,# of Efficient-cores,8
CPU Specifications,Total Threads,24
CPU Specifications,Max Turbo Frequency,5.20 GHz
CPU Specifications,Intel® Turbo Boost Max Technology 3.0 Frequency‡,5.20 GHz
CPU Specifications,Performance-core Max Turbo Frequency,5.10 GHz
CPU Specifications,Efficient-core Max Turbo Frequency,3.90 GHz
CPU Specifications,Performance-core Base Frequency,3.20 GHz
CPU Specifications,Efficient-core Base Frequency,2.40 GHz
CPU Specifications,Cache,30 MB Intel® Smart Cache
CPU Specifications,Total L2 Cache,14 MB
CPU Specifications,Processor Base Power,125 W
CPU Specifications,Maximum Turbo Power,241 W
Supplemental Information,Marketing Status,Launched
Supplemental Information,Launch Date,Q4'21
Supplemental Information,Embedded Options Available,No
Supplemental Information,Use Conditions,PC/Client/Tablet
Supplemental Information,Datasheet,View now
Memory Specifications,Max Memory Size (dependent on memory type),128 GB
Memory Specifications,Memory Types,Up to DDR5 4800 MT/sUp to DDR4 3200 MT/s
Memory Specifications,Max # of Memory Channels,2
Memory Specifications,Max Memory Bandwidth,76.8 GB/s
Expansion Options,Direct Media Interface (DMI) Revision,4.0
Expansion Options,Max # of DMI Lanes,8
Expansion Options,Scalability,1S Only
Expansion Options,PCI Express Revision,5.0 and 4.0
Expansion Options,PCI Express Configurations‡,"Up to 1x16+4, 2x8+4"
Expansion Options,Max # of PCI Express Lanes,20
Package Specifications,Sockets Supported,FCLGA1700
Package Specifications,Max CPU Configuration,1
Package Specifications,Thermal Solution Specification,PCG 2020A
Package Specifications,TJUNCTION,100°C
Package Specifications,Package Size,45.0 mm x 37.5 mm
Package Specifications,Max Operating Temperature,100 °C
Advanced Technologies,Intel® Gaussian & Neural Accelerator,3.0
Advanced Technologies,Intel® Thread Director,Yes
Advanced Technologies,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Advanced Technologies,Intel® Optane™ Memory Supported‡,Yes
Advanced Technologies,Intel® Speed Shift Technology,Yes
Advanced Technologies,Intel® Turbo Boost Max Technology 3.0‡,Yes
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
Advanced Technologies,Idle States,Yes
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Advanced Technologies,Intel® Volume Management Device (VMD),Yes
Security & Reliability,Intel® Standard Manageability (ISM)‡,Yes
Security & Reliability,Intel® Secure Key,Yes
Security & Reliability,Intel® Control-Flow Enforcement Technology,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® OS Guard,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Boot Guard,Yes
Security & Reliability,Mode-based Execute Control (MBEC),Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
