Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, Tray",Ordering Code,CD8067303286804
"Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, Tray",Spec Code,SR3L2
"Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, Tray",Stepping,U0
"Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, Tray",MDDS Content IDs,708372
"Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, Tray",PCN Content IDs,"808980,799685,813833,812098"
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, for China",Ordering Code,BXC80673I97900X
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, for China",Spec Code,SR3L2
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, for China",Shipping Media,BOX
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, for China",Stepping,U0
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, for China",MDDS Content IDs,707693
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B, for China",PCN Content IDs,"797610,808980"
Retired and discontinued,,
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B",Ordering Code,BX80673I97900X
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B",Spec Code,SR3L2
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B",Shipping Media,BOX
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B",Stepping,U0
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B",MDDS Content IDs,707693
"Boxed Intel® Core™ i9-7900X X-series Processor (13.75M Cache, up to 4.30 GHz) FC-LGA14B",PCN Content IDs,"797610,808980,798513"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
