Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i9-8950HK Processor (12M Cache, up to 4.80 GHz) FC-BGA14F, Tray",Ordering Code,CL8068403805708
"Intel® Core™ i9-8950HK Processor (12M Cache, up to 4.80 GHz) FC-BGA14F, Tray",Spec Code,SRCKN
"Intel® Core™ i9-8950HK Processor (12M Cache, up to 4.80 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Core™ i9-8950HK Processor (12M Cache, up to 4.80 GHz) FC-BGA14F, Tray",Stepping,U0
"Intel® Core™ i9-8950HK Processor (12M Cache, up to 4.80 GHz) FC-BGA14F, Tray",MDDS Content IDs,706436
"Intel® Core™ i9-8950HK Processor (12M Cache, up to 4.80 GHz) FC-BGA14F, Tray",PCN Content IDs,"795943,809025"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
