Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",Ordering Code,CM8068404170208
"Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",Spec Code,SRG1Q
"Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",Shipping Media,TRAY
"Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",Stepping,R0
"Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, Tray",MDDS Content IDs,706385
"Boxed Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",Ordering Code,BX80684I99900KS
"Boxed Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",Spec Code,SRG1Q
"Boxed Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",Shipping Media,BOX
"Boxed Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",Stepping,R0
"Boxed Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A",MDDS Content IDs,707702
"Boxed Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, for China",Ordering Code,BXC80684I9990KS
"Boxed Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, for China",Spec Code,SRG1Q
"Boxed Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, for China",Shipping Media,BOX
"Boxed Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, for China",Stepping,R0
"Boxed Intel® Core™ i9-9900KS Processor (16M Cache, up to 5.00 GHz) FC-LGA14A, for China",MDDS Content IDs,707702
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
