Section,Key,Value
Retired and discontinued,,
"Intel® Core™ m7-6Y75 Processor (4M Cache, up to 3.10 GHz) FC-BGA14C, Tray",Ordering Code,HE8066201922875
"Intel® Core™ m7-6Y75 Processor (4M Cache, up to 3.10 GHz) FC-BGA14C, Tray",Spec Code,SR2EH
"Intel® Core™ m7-6Y75 Processor (4M Cache, up to 3.10 GHz) FC-BGA14C, Tray",Shipping Media,TRAY
"Intel® Core™ m7-6Y75 Processor (4M Cache, up to 3.10 GHz) FC-BGA14C, Tray",Stepping,D1
"Intel® Core™ m7-6Y75 Processor (4M Cache, up to 3.10 GHz) FC-BGA14C, Tray",MDDS Content IDs,706935
"Intel® Core™ m7-6Y75 Processor (4M Cache, up to 3.10 GHz) FC-BGA14C, Tray",PCN Content IDs,"805104,795943,799685,808451"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G147881
Trade Compliance Information,US HTS,8542310050
