Section,Key,Value
Essentials,Product Collection,Intel® Data Center GPU Flex Series
Essentials,Microarchitecture,Xe-HPG
Essentials,Code Name,Products formerly Arctic Sound
Essentials,Marketing Status,Launched
Essentials,Launch Date,Q3'24
Essentials,Warranty Period,3 yrs
Essentials,Embedded Options Available,No
Essentials,Use Conditions,Server/Enterprise
Essentials,Usecase,Cloud Computing
GPU Specifications,Xe-cores,32
GPU Specifications,Render Slices,8
GPU Specifications,Ray Tracing Units,32
GPU Specifications,Intel® XeMatrix Extensions (Intel® XMX) Engines,512
GPU Specifications,Execution Units,512
GPU Specifications,Graphics Max Dynamic Clock,2050 MHz
GPU Specifications,Intel® XeMatrix Extensions (Intel® XMX) Max Dynamic Clock,1500 MHz
GPU Specifications,TBP,150 W
GPU Specifications,PCI Express Configurations‡,Up to PCI Express 4.0 x16
GPU Specifications,Device ID,0x56C2
Memory Specifications,Memory Size,16 GB
Memory Specifications,Memory Type,GDDR6
Memory Specifications,Graphics Memory Interface,256 bit
Memory Specifications,Graphics Memory Bandwidth,576 GB/s
I/O Specifications,# of Displays Supported‡,0
Features,H.264 Hardware Encode/Decode,Yes
Features,H.265 (HEVC) Hardware Encode/Decode,Yes
Features,AV1 Encode/Decode,Yes
Features,VP9 Bitstream & Decoding,Yes
Supported Technologies,Ray Tracing,Yes
Supported Technologies,oneAPI Support,Yes
Supported Technologies,OpenVINO™ Support,Yes
Supported Technologies,DirectX* Support,DirectX 12 Ultimate
Supported Technologies,Vulkan*  Support,1.3
Supported Technologies,OpenGL* Support,Up to 4.6
Supported Technologies,OpenCL* Support,3.0
Supported Technologies,Multi-Format Codec Engines,2
