Section,Key,Value
Retired and discontinued,,
"Intel® Dual Band Wireless-AC 8265, 1216, 2x2 AC + BT, LTE Coex, vPro®",Ordering Code,8265.D2WMLG
"Intel® Dual Band Wireless-AC 8265, 1216, 2x2 AC + BT, LTE Coex, vPro®",MDDS Content IDs,707106
"Intel® Dual Band Wireless-AC 8265, 1216, 2x2 AC + BT, LTE Coex, vPro®",PCN Content IDs,"796605,798350,799233,810083,799638,810429,800525,802683,802983,805115,808494"
"Intel® Dual Band Wireless-AC 8265, 2230, 2x2 AC + BT, No vPro®",Ordering Code,8265.NGWMG.NV
"Intel® Dual Band Wireless-AC 8265, 2230, 2x2 AC + BT, No vPro®",MDDS Content IDs,706301
"Intel® Dual Band Wireless-AC 8265, 2230, 2x2 AC + BT, No vPro®",PCN Content IDs,"795950,797511,803964,798089,807028,798534,809211,803197,810207,803256,804086,808212"
"Intel® Dual Band Wireless-AC 8265, 2230, 2x2 AC + BT, vPro®, Low Power",Ordering Code,8265.NGWMG.S
"Intel® Dual Band Wireless-AC 8265, 2230, 2x2 AC + BT, vPro®, Low Power",MDDS Content IDs,706301
"Intel® Dual Band Wireless-AC 8265, 2230, 2x2 AC + BT, vPro®, Low Power",PCN Content IDs,"797511,795950,798089,803197,798534,803256,804086,803964,807028,810207,808212,809211"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G151050
Trade Compliance Information,US HTS,8517620090
