Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Connection C827-IM1, Tray",Ordering Code,EZC827IM
"Intel® Ethernet Connection C827-IM1, Tray",Spec Code,SLM2S
"Intel® Ethernet Connection C827-IM1, Tray",Shipping Media,TRAY
"Intel® Ethernet Connection C827-IM1, Tray",Stepping,A1
"Intel® Ethernet Connection C827-IM1, Tray",MDDS Content IDs,707333
"Intel® Ethernet Connection C827-IM1, Tray",PCN Content IDs,"795943,809472"
"Intel® Ethernet Connection C827-IM1, Tray",Recommended Customer Price,$60.00
Trade Compliance Information,ECCN,5A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310030
