Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, Tray",Ordering Code,EZX557AT4
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, Tray",Spec Code,SLKVZ
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, Tray",Shipping Media,TRAY
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, Tray",Stepping,B1
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, Tray",MDDS Content IDs,708253
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, Tray",PCN Content IDs,"809472,795943,813833,799822,806009,812098"
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, Tray",Recommended Customer Price,$158.13
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, T&R",Ordering Code,EZX557AT4
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, T&R",Spec Code,SLKW3
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, T&R",Shipping Media,T&R
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, T&R",Stepping,B1
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, T&R",MDDS Content IDs,708253
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, T&R",PCN Content IDs,"809472,795943,819816,806009"
"Intel® Ethernet Connection X557-AT4, Quad Port, FCBGA, T&R",Recommended Customer Price,$158.13
Trade Compliance Information,ECCN,5A991.B
Trade Compliance Information,CCATS,G151724
Trade Compliance Information,US HTS,8542310030
