Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Controller E810-CAM1, Tray",Ordering Code,EZE810CAM1
"Intel® Ethernet Controller E810-CAM1, Tray",Spec Code,SLNFV
"Intel® Ethernet Controller E810-CAM1, Tray",Shipping Media,TRAY
"Intel® Ethernet Controller E810-CAM1, Tray",Stepping,C0
"Intel® Ethernet Controller E810-CAM1, Tray",MDDS Content IDs,"795945,809472"
"Intel® Ethernet Controller E810-CAM1, Tray",PCN Content IDs,"795945,809472"
"Intel® Ethernet Controller E810-CAM1, Tray",Recommended Customer Price,$330.00
"Intel® Ethernet Controller E810-CAM1, Tape & Reel",Ordering Code,EZE810CAM1
"Intel® Ethernet Controller E810-CAM1, Tape & Reel",Spec Code,SLNFW
"Intel® Ethernet Controller E810-CAM1, Tape & Reel",Shipping Media,T&R
"Intel® Ethernet Controller E810-CAM1, Tape & Reel",Stepping,C0
"Intel® Ethernet Controller E810-CAM1, Tape & Reel",MDDS Content IDs,707949
"Intel® Ethernet Controller E810-CAM1, Tape & Reel",PCN Content IDs,"819816,795945,809472"
"Intel® Ethernet Controller E810-CAM1, Tape & Reel",Recommended Customer Price,$330.00
Trade Compliance Information,ECCN,5A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310030
