Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Controller E830-CCAM1, Tray",Ordering Code,EZE830CCAM1
"Intel® Ethernet Controller E830-CCAM1, Tray",Spec Code,SLPLP
"Intel® Ethernet Controller E830-CCAM1, Tray",Shipping Media,TRAY
"Intel® Ethernet Controller E830-CCAM1, Tray",Stepping,A0
"Intel® Ethernet Controller E830-CCAM1, Tray",MDDS Content IDs,837347
"Intel® Ethernet Controller E830-CCAM1, Tray",ECCN,5A992.C
"Intel® Ethernet Controller E830-CCAM1, Tray",CCATS,740.17B1
"Intel® Ethernet Controller E830-CCAM1, Tray",US HTS,8542310030
"Intel® Ethernet Controller E830-CCAM1, Tray",Recommended Customer Price,$375.00
Retired and discontinued,,
"Intel® Ethernet Controller E830-CCAM1, T&R",Ordering Code,DGBM1KIW1Q
"Intel® Ethernet Controller E830-CCAM1, T&R",ECCN,4A994.L
"Intel® Ethernet Controller E830-CCAM1, T&R",CCATS,NA
"Intel® Ethernet Controller E830-CCAM1, T&R",US HTS,8473301180
Trade Compliance Information,ECCN,Varies By Product
Trade Compliance Information,CCATS,Varies By Product
Trade Compliance Information,US HTS,Varies By Product
