Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Controller I210-CL, Tray",Ordering Code,WGI210CL
"Intel® Ethernet Controller I210-CL, Tray",Spec Code,SLM8U
"Intel® Ethernet Controller I210-CL, Tray",Shipping Media,TRAY
"Intel® Ethernet Controller I210-CL, Tray",Stepping,A3
"Intel® Ethernet Controller I210-CL, Tray",MDDS Content IDs,706791
"Intel® Ethernet Controller I210-CL, Tray",PCN Content IDs,"799822,813833"
"Intel® Ethernet Controller I210-CL, Tray",Recommended Customer Price,$13.50
"Intel® Ethernet Controller I210-CL, T&R",Ordering Code,WGI210CL
"Intel® Ethernet Controller I210-CL, T&R",Spec Code,SLM8V
"Intel® Ethernet Controller I210-CL, T&R",Shipping Media,T&R
"Intel® Ethernet Controller I210-CL, T&R",Stepping,A3
"Intel® Ethernet Controller I210-CL, T&R",MDDS Content IDs,706791
"Intel® Ethernet Controller I210-CL, T&R",PCN Content IDs,813834
"Intel® Ethernet Controller I210-CL, T&R",Recommended Customer Price,$13.50
Trade Compliance Information,ECCN,5A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310030
