Section,Key,Value
Essentials,Product Collection,Intel® Ethernet Controller I210 Series
Essentials,Code Name,Products formerly Springville
Essentials,Marketing Status,Launched
Essentials,Launch Date,Q2'18
Essentials,Expected Discontinuance,1H'35
Essentials,Recommended Customer Price,$13.50
Essentials,Supported Operating Systems,View now
Essentials,Operating Temperature Range,-40°C to 85°C
Essentials,Max Operating Temperature,85 °C
Essentials,Minimum Operating Temperature,-40 °C
Essentials,Use Conditions,Automotive
Supplemental Information,Embedded Options Available,No
Supplemental Information,Datasheet,View now
Supplemental Information,Description,1GbE Controller supporting SerDes/SGMII for Automotive (<20 DPM). See the “Intel(r) Ethernet Controller I210 : Specification Update” for Top Marking information.
Supplemental Information,Product Brief,View now
Networking Specifications,Port Configuration,Single
Networking Specifications,Data Rate Per Port,1GbE
Networking Specifications,System Interface Type,PCIe v2.1 (2.5 GT/s)
Networking Specifications,NC Sideband Interface,Yes
Networking Specifications,Jumbo Frames Supported,Yes
Networking Specifications,Interfaces Supported,"SGMII, SERDES"
Package Specifications,Package Size,9mm x 9mm
Advanced Technologies,IEEE 1588,Yes
