Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Controller I226-LM, T&R",Ordering Code,KTI226LM
"Intel® Ethernet Controller I226-LM, T&R",Spec Code,SRKTS
"Intel® Ethernet Controller I226-LM, T&R",Shipping Media,T&R
"Intel® Ethernet Controller I226-LM, T&R",Stepping,C0
"Intel® Ethernet Controller I226-LM, T&R",MDDS Content IDs,758771
"Intel® Ethernet Controller I226-LM, T&R",PCN Content IDs,799655
"Intel® Ethernet Controller I226-LM, T&R",Recommended Customer Price,$4.86
"Intel® Ethernet Controller I226-LM, Tray",Ordering Code,KTI226LM
"Intel® Ethernet Controller I226-LM, Tray",Spec Code,SRKTT
"Intel® Ethernet Controller I226-LM, Tray",Shipping Media,TRAY
"Intel® Ethernet Controller I226-LM, Tray",Stepping,C0
"Intel® Ethernet Controller I226-LM, Tray",MDDS Content IDs,758771
"Intel® Ethernet Controller I226-LM, Tray",PCN Content IDs,799655
"Intel® Ethernet Controller I226-LM, Tray",Recommended Customer Price,$4.86
Trade Compliance Information,ECCN,5A991.B.4.A
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310030
