Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Controller I350-AM4, Tray",Ordering Code,NHI350AM4
"Intel® Ethernet Controller I350-AM4, Tray",Spec Code,SLJ3Z
"Intel® Ethernet Controller I350-AM4, Tray",Shipping Media,TRAY
"Intel® Ethernet Controller I350-AM4, Tray",Stepping,A1
"Intel® Ethernet Controller I350-AM4, Tray",MDDS Content IDs,707124
"Intel® Ethernet Controller I350-AM4, Tray",PCN Content IDs,"795943,803212,798798,804340,799686,804690,799822,811242,802395,812098,805021,813819,809472,810640,813824,813833"
"Intel® Ethernet Controller I350-AM4, Tray",Recommended Customer Price,$37.50
"Intel® Ethernet Controller I350-AM4, Tape",Ordering Code,NHI350AM4
"Intel® Ethernet Controller I350-AM4, Tape",Spec Code,SLJ2Z
"Intel® Ethernet Controller I350-AM4, Tape",Shipping Media,T&R
"Intel® Ethernet Controller I350-AM4, Tape",Stepping,A1
"Intel® Ethernet Controller I350-AM4, Tape",MDDS Content IDs,707124
"Intel® Ethernet Controller I350-AM4, Tape",PCN Content IDs,"798798,795943,803212,799686,804340,809472,804690,811242,813824,812043,819816"
"Intel® Ethernet Controller I350-AM4, Tape",Recommended Customer Price,$37.50
Trade Compliance Information,ECCN,5A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310030
