Section,Key,Value
Essentials,Product Collection,Intel® Ethernet Controller I350 Series
Essentials,Code Name,Products formerly Powerville
Essentials,Marketing Status,Launched
Essentials,Launch Date,Q2'11
Essentials,Expected Discontinuance,1H'31
Essentials,TDP,4 W
Essentials,Recommended Customer Price,$37.50
Essentials,Supported Operating Systems,View now
Essentials,Operating Temperature Range,-10°C to 55°C
Essentials,Max Operating Temperature,55 °C
Essentials,Minimum Operating Temperature,-10 °C
Supplemental Information,Datasheet,View now
Supplemental Information,Product Brief,View now
Networking Specifications,Port Configuration,Quad
Networking Specifications,Data Rate Per Port,1GbE
Networking Specifications,System Interface Type,PCIe v2.0 (5.0 GT/s)
Networking Specifications,NC Sideband Interface,Yes
Networking Specifications,Jumbo Frames Supported,Yes
Networking Specifications,Interfaces Supported,"1000Base-T, SGMII, SERDES"
Package Specifications,Package Size,17mm x 17mm
Intel® Virtualization Technology for Connectivity,On-chip QoS and Traffic Management,Yes
Intel® Virtualization Technology for Connectivity,Virtual Machine Device Queues (VMDq),Yes
Intel® Virtualization Technology for Connectivity,PCI-SIG* SR-IOV Capable,Yes
Advanced Technologies,Intel® Virtualization Technology for Connectivity (VT-c),Intel® VT-c
Advanced Technologies,Fiber Channel over Ethernet,No
Advanced Technologies,MACsec IEEE 802.1 AE,No
Advanced Technologies,IEEE 1588,Yes
Advanced Technologies,iWARP/RDMA,No
Advanced Technologies,Intel® Data Direct I/O Technology,Yes
