Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,Tray",Ordering Code,EZV710AT2
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,Tray",Spec Code,SLNGF
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,Tray",Shipping Media,TRAY
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,Tray",Stepping,B1
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,Tray",MDDS Content IDs,809472
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,Tray",PCN Content IDs,809472
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,Tray",Recommended Customer Price,$48.15
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,T&R",Ordering Code,EZV710AT2
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,T&R",Spec Code,SLNGG
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,T&R",Shipping Media,T&R
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,T&R",Stepping,B1
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,T&R",MDDS Content IDs,809472
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,T&R",PCN Content IDs,"809472,819816"
"Intel® Ethernet Controller 5 Gigabit V710-AT2, Dual Port, FCBGA,T&R",Recommended Customer Price,$48.15
Trade Compliance Information,ECCN,5A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310030
