Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, Tray",Ordering Code,ELX550AT2
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, Tray",Spec Code,SLL2E
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, Tray",Shipping Media,TRAY
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, Tray",Stepping,B0
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, Tray",MDDS Content IDs,708213
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, Tray",PCN Content IDs,"795943,799822,806009,809472,812098,813833"
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, Tray",Recommended Customer Price,$90.95
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, T&R",Ordering Code,ELX550AT2
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, T&R",Spec Code,SLL2F
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, T&R",Shipping Media,T&R
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, T&R",Stepping,B0
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, T&R",MDDS Content IDs,708213
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, T&R",PCN Content IDs,"795943,806009,809472,819816"
"Intel® Ethernet Controller X550-AT2, Dual Port, FCBGA, T&R",Recommended Customer Price,$90.95
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G054018
Trade Compliance Information,US HTS,8542310030
