Section,Key,Value
Essentials,Product Collection,Intel® Ethernet Controller X550
Essentials,Code Name,Products formerly Sageville
Essentials,Marketing Status,Launched
Essentials,Launch Date,Q4'15
Essentials,Expected Discontinuance,1H'27
Essentials,Lithography,28 nm
Essentials,TDP,11 W
Essentials,Recommended Customer Price,$90.95
Essentials,Supported Operating Systems,View now
Essentials,Operating Temperature Range,0°C to 55°C
Essentials,Max Operating Temperature,55 °C
Essentials,Minimum Operating Temperature,0 °C
Supplemental Information,Datasheet,View now
Supplemental Information,Description,Fully integrated 10GBASE-T controller designed for LAN-on-Motherboard (LOM)
Supplemental Information,Product Brief,View now
Networking Specifications,Port Configuration,Dual
Networking Specifications,Data Rate Per Port,10/5/2.5/1GbE (NBASE-T in Linux Only)
Networking Specifications,System Interface Type,PCIe v3.0 (8.0 GT/s)
Networking Specifications,NC Sideband Interface,Yes
Networking Specifications,Jumbo Frames Supported,Yes
Package Specifications,Package Size,17mm x 17mm
Intel® Virtualization Technology for Connectivity,Flexible Port Partitioning,Yes
Intel® Virtualization Technology for Connectivity,Virtual Machine Device Queues (VMDq),Yes
Intel® Virtualization Technology for Connectivity,PCI-SIG* SR-IOV Capable,Yes
Advanced Technologies,Intel® Virtualization Technology for Connectivity (VT-c),"VMDq, SR-IOV"
Advanced Technologies,Fiber Channel over Ethernet,Yes
Advanced Technologies,MACsec IEEE 802.1 AE,No
Advanced Technologies,IEEE 1588,Yes
Advanced Technologies,Supported Under Intel vPro® Technology,No
Advanced Technologies,iWARP/RDMA,No
Advanced Technologies,Intel® Ethernet Power Management,Yes
Advanced Technologies,Intel® Data Direct I/O Technology,Yes
Advanced Technologies,Intelligent Offloads,Yes
Advanced Technologies,Storage Over Ethernet,"iSCSI, FCoE, NFS"
