Section,Key,Value
Retired and discontinued,,
"Intel® Ethernet Controller X710-AM2, FCmBGA, T&R",Ordering Code,FTX710-AM2
"Intel® Ethernet Controller X710-AM2, FCmBGA, T&R",Spec Code,SR1ZP
"Intel® Ethernet Controller X710-AM2, FCmBGA, T&R",Shipping Media,T&R
"Intel® Ethernet Controller X710-AM2, FCmBGA, T&R",Stepping,B0
"Intel® Ethernet Controller X710-AM2, FCmBGA, T&R",MDDS Content IDs,707999
"Intel® Ethernet Controller X710-AM2, FCmBGA, T&R",PCN Content IDs,"799686,804340,809306,807902,813827"
"Intel® Ethernet Controller X710-AM2, FCmBGA, Tray",Ordering Code,FTX710-AM2
"Intel® Ethernet Controller X710-AM2, FCmBGA, Tray",Spec Code,SR1ZQ
"Intel® Ethernet Controller X710-AM2, FCmBGA, Tray",Shipping Media,TRAY
"Intel® Ethernet Controller X710-AM2, FCmBGA, Tray",Stepping,B0
"Intel® Ethernet Controller X710-AM2, FCmBGA, Tray",MDDS Content IDs,707999
"Intel® Ethernet Controller X710-AM2, FCmBGA, Tray",PCN Content IDs,"804340,799686,807902,802395,805104,809306,813827"
Trade Compliance Information,ECCN,5A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310030
