Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Controller XL710-BM2, FCmBGA, Tray",Ordering Code,FTXL710-BM2
"Intel® Ethernet Controller XL710-BM2, FCmBGA, Tray",Spec Code,SLLK7
"Intel® Ethernet Controller XL710-BM2, FCmBGA, Tray",Shipping Media,TRAY
"Intel® Ethernet Controller XL710-BM2, FCmBGA, Tray",Stepping,B1
"Intel® Ethernet Controller XL710-BM2, FCmBGA, Tray",MDDS Content IDs,707999
"Intel® Ethernet Controller XL710-BM2, FCmBGA, Tray",PCN Content IDs,"795943,799686,807902,799822,812098,805104,813827,807481,809472,813833"
"Intel® Ethernet Controller XL710-BM2, FCmBGA, Tray",Recommended Customer Price,$117.70
"Intel® Ethernet Controller XL710-BM2, FCmBGA, T&R",Ordering Code,FTXL710-BM2
"Intel® Ethernet Controller XL710-BM2, FCmBGA, T&R",Spec Code,SLLK8
"Intel® Ethernet Controller XL710-BM2, FCmBGA, T&R",Shipping Media,T&R
"Intel® Ethernet Controller XL710-BM2, FCmBGA, T&R",Stepping,B1
"Intel® Ethernet Controller XL710-BM2, FCmBGA, T&R",MDDS Content IDs,707999
"Intel® Ethernet Controller XL710-BM2, FCmBGA, T&R",PCN Content IDs,"795943,799686,807902,807481,809472,813827"
"Intel® Ethernet Controller XL710-BM2, FCmBGA, T&R",Recommended Customer Price,$117.70
Trade Compliance Information,ECCN,5A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310030
