Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, Tray",Ordering Code,FTXXV710-AM2
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, Tray",Spec Code,SLLZ3
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, Tray",Shipping Media,TRAY
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, Tray",Stepping,B1
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, Tray",MDDS Content IDs,708733
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, Tray",PCN Content IDs,809472
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, Tray",Recommended Customer Price,$165.00
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, T&R",Ordering Code,FTXXV710-AM2
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, T&R",Spec Code,SLLZ5
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, T&R",Shipping Media,T&R
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, T&R",Stepping,B1
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, T&R",MDDS Content IDs,708733
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, T&R",PCN Content IDs,809472
"Intel® Ethernet Controller XXV710-AM2, FCmBGA, T&R",Recommended Customer Price,$165.00
Trade Compliance Information,ECCN,5A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310030
