Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Converged Network Adapter X710-DA2, retail unit",Ordering Code,X710DA2
"Intel® Ethernet Converged Network Adapter X710-DA2, retail unit",MDDS Content IDs,708918
"Intel® Ethernet Converged Network Adapter X710-DA2, retail unit",PCN Content IDs,"796852,800008,799894,803073,802499,804495,802715,808616,802750,809474,805030,820101,834101,859226"
"Intel® Ethernet Converged Network Adapter X710-DA2, retail unit",Recommended Customer Price,$224.00
"Intel® Ethernet Converged Network Adapter X710-DA2, retail bulk",Ordering Code,X710DA2BLK
"Intel® Ethernet Converged Network Adapter X710-DA2, retail bulk",MDDS Content IDs,708918
"Intel® Ethernet Converged Network Adapter X710-DA2, retail bulk",PCN Content IDs,"800008,796852,802750,799894,803073,802499,804495,802715,808226,805030,808616,834101,809474,820101,859226"
"Intel® Ethernet Converged Network Adapter X710-DA2, retail bulk",Recommended Customer Price,$216.00
Trade Compliance Information,ECCN,5A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8517620090
