Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Network Adapter OCP3.0 E610-XT2, Single",Ordering Code,E610XT2OCPV3
"Intel® Ethernet Network Adapter OCP3.0 E610-XT2, Single",MDDS Content IDs,846263
"Intel® Ethernet Network Adapter OCP3.0 E610-XT2, Single",PCN Content IDs,859226
"Intel® Ethernet Network Adapter OCP3.0 E610-XT2, Single",Recommended Customer Price,$251.00
"Intel® Ethernet Network Adapter OCP3.0 E610-XT2, Multi",Ordering Code,E610XT2OCP3M5
"Intel® Ethernet Network Adapter OCP3.0 E610-XT2, Multi",PCN Content IDs,859226
"Intel® Ethernet Network Adapter OCP3.0 E610-XT2, Multi",Recommended Customer Price,$241.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8517620090
