Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Network Adapter OCP3.0 E810-CQDA1, Retail Unit",Ordering Code,E810CQDA1OCPV3
"Intel® Ethernet Network Adapter OCP3.0 E810-CQDA1, Retail Unit",MDDS Content IDs,"749590,749678"
"Intel® Ethernet Network Adapter OCP3.0 E810-CQDA1, Retail Unit",PCN Content IDs,"804652,798232,805170,803097,804587,848179,858081,859226,860576"
"Intel® Ethernet Network Adapter OCP3.0 E810-CQDA1, Retail Unit",Recommended Customer Price,$413.00
"Intel® Ethernet Network Adapter OCP3.0 E810-CQDA1, OEM Gen",Ordering Code,E810CQDA1OCPV3L
"Intel® Ethernet Network Adapter OCP3.0 E810-CQDA1, OEM Gen",MDDS Content IDs,749678
"Intel® Ethernet Network Adapter OCP3.0 E810-CQDA1, OEM Gen",PCN Content IDs,"798232,803097,804652,804587,858081,805170,848179,859226,860576"
Trade Compliance Information,ECCN,5A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8517620090
