Section,Key,Value
Essentials,Product Collection,800 Series Network Adapters (up to 200GbE)
Essentials,Marketing Status,Launched
Essentials,Launch Date,Q2'25
Essentials,Vertical Segment,Server
Essentials,Cable Medium,"Copper, Fiber"
Essentials,Cabling Type,"QSFP28 ports - DAC, Optics, and AOC's"
Essentials,Bracket Height,Low Profile and Full Height
Essentials,Recommended Customer Price,$553.00
Supplemental Information,Product Brief,View now
Networking Specifications,Port Configuration,Dual
Networking Specifications,Data Rate Per Port,200/100/50/25/10GbE
Networking Specifications,Intel® Virtualization Technology for Connectivity (VT-c),Yes
Networking Specifications,Controller,Intel Ethernet Controller E830
Package Specifications,System Interface Type,"PCIe 5.0, PCIe 4.0"
Intel® Virtualization Technology for Connectivity,On-chip QoS and Traffic Management,Yes
Intel® Virtualization Technology for Connectivity,Flexible Port Partitioning,Yes
Intel® Virtualization Technology for Connectivity,Virtual Machine Device Queues (VMDq),Yes
Intel® Virtualization Technology for Connectivity,PCI-SIG* SR-IOV Capable,Yes
Advanced Technologies,iWARP/RDMA,No
Advanced Technologies,RoCEv2/RDMA,No
Advanced Technologies,Intel® Data Direct I/O Technology,Yes
Advanced Technologies,Intelligent Offloads,Yes
Advanced Technologies,Storage Over Ethernet,"iSCSI, NF"
