Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Network Adapter I226-T1, Retail Unit",Ordering Code,I226T1
"Intel® Ethernet Network Adapter I226-T1, Retail Unit",PCN Content IDs,"859226,848179"
"Intel® Ethernet Network Adapter I226-T1, Retail Unit",Recommended Customer Price,$64.00
"Intel® Ethernet Network Adapter I226-T1, Retail Bulk",Ordering Code,I226T1BLK
"Intel® Ethernet Network Adapter I226-T1, Retail Bulk",PCN Content IDs,"848179,859226"
"Intel® Ethernet Network Adapter I226-T1, Retail Bulk",Recommended Customer Price,$62.00
Trade Compliance Information,ECCN,5A991.B.4.A
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8517620090
