Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Server Adapter I210-T1, retail unit",Ordering Code,I210T1
"Intel® Ethernet Server Adapter I210-T1, retail unit",MDDS Content IDs,707834
"Intel® Ethernet Server Adapter I210-T1, retail unit",PCN Content IDs,"796558,797143,797882,799088,808157,802260,809474,810571,810057,848179,859226"
"Intel® Ethernet Server Adapter I210-T1, retail unit",Recommended Customer Price,$44.00
"Intel® Ethernet Server Adapter I210-T1, retail bulk",Ordering Code,I210T1BLK
"Intel® Ethernet Server Adapter I210-T1, retail bulk",MDDS Content IDs,707834
"Intel® Ethernet Server Adapter I210-T1, retail bulk",PCN Content IDs,"796558,797143,799088,797882,802260,808157,809474,808226,810057,848179,859226"
"Intel® Ethernet Server Adapter I210-T1, retail bulk",Recommended Customer Price,$43.00
Trade Compliance Information,ECCN,5A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8517620090
