Section,Key,Value
Ordering and Spec Information,,
"Intel® Ethernet Server Adapter I350-T2V2, retail unit",Ordering Code,I350T2V2
"Intel® Ethernet Server Adapter I350-T2V2, retail unit",MDDS Content IDs,"706700,728249"
"Intel® Ethernet Server Adapter I350-T2V2, retail unit",ECCN,5A991.B.4.A
"Intel® Ethernet Server Adapter I350-T2V2, retail unit",PCN Content IDs,"796112,802260,802715,808616,810326,809474,811504,848179,811787,859226,812051"
"Intel® Ethernet Server Adapter I350-T2V2, retail unit",Recommended Customer Price,$94.00
"Intel® Ethernet Server Adapter I350-T2V2, retail bulk",Ordering Code,I350T2V2BLK
"Intel® Ethernet Server Adapter I350-T2V2, retail bulk",MDDS Content IDs,"708094,728249"
"Intel® Ethernet Server Adapter I350-T2V2, retail bulk",ECCN,5A991
"Intel® Ethernet Server Adapter I350-T2V2, retail bulk",PCN Content IDs,"802715,796112,808687,802260,811504,808616,848179,809474,810326,812051,859226"
"Intel® Ethernet Server Adapter I350-T2V2, retail bulk",Recommended Customer Price,$91.00
Trade Compliance Information,ECCN,Varies By Product
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8517620090
