Section,Key,Value
Essentials,Product Collection,Cables and Adapters
Essentials,Marketing Status,Launched
Essentials,Launch Date,Q3'11
Essentials,Ordering Part Number,PL-USB-BLASTER-RCN
Cable Specifications,Host Interface,USB
Cable Specifications,Active Serial,Yes
Cable Specifications,Active Parallel,Yes
Cable Specifications,JTAG,Yes
Cable Specifications,Max JTAG Clock Speed,6MHz
Cable Specifications,ROHS Compliant,Yes
Cable Specifications,External Power Supply Required,No
Cable Specifications,TTL Voltage Support,5
Cable Specifications,LVTTL/LVCMOS Voltage Support,3.3
Cable Specifications,Single-Ended Voltage Support,1.8 - 3.3
Supplemental Information,User Guide,View now
Supplemental Information,Additional Information,View now
