Section,Key,Value
Essentials,Product Collection,Cables and Adapters
Essentials,Marketing Status,Launched
Essentials,Launch Date,Q1'01
Essentials,Ordering Part Number,PL-BYTEBLASTER2N
Cable Specifications,Host Interface,Parallel Port
Cable Specifications,Active Serial,Yes
Cable Specifications,Active Parallel,Yes
Cable Specifications,JTAG,Yes
Cable Specifications,Max JTAG Clock Speed,6MHz
Cable Specifications,ROHS Compliant,No
Cable Specifications,External Power Supply Required,No
Cable Specifications,TTL Voltage Support,5
Cable Specifications,LVTTL/LVCMOS Voltage Support,3.3
Cable Specifications,Single-Ended Voltage Support,1.5 - 3.3
Supplemental Information,User Guide,View now
Supplemental Information,Additional Information,View now
