Section,Key,Value
Essentials,Product Collection,Intel® Integrated RAID (Modules/System Boards)
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q1'10
Essentials,Expected Discontinuance,1H '14
Essentials,Target Market,Mainstream
Essentials,Board Form Factor,Storage Connector Module
Essentials,Data Transfer Rate,6 Gb/s
Essentials,Supported Devices,SAS/SATA
Essentials,Compatible Cache Backup Options,AXXRSBBU7 or AXXRSBBU8
Essentials,RAID Level Supported,"0, 1, 10, 5, 50, 6, 60"
Essentials,JBOD Mode,No
Essentials,# of Ports Internal,8
Essentials,# of Devices Supported,32
Essentials,Cache Memory,512MB
Essentials,IO Processor Model,LSI2108
Essentials,Included Items,"RAID module, Quick Start User Guide, Mounting standoffs. Note: Cables sold separately"
Supplemental Information,Description,6G SAS/SATA HWRAID Module with 8 ports
