Product ID,Product Name,Capacity,Form Factor,Interface
212018,"Intel® Optane™ SSD DC P5801X Series  (400GB, EDSFF S 15mm PCIe x4, 3D XPoint™)",400 GB,E1.S 15mm,"PCIe 4.0 x4, NVMe"
213133,"Intel® Optane™ SSD DC P5801X Series  (800GB, EDSFF S 15mm PCIe x4, 3D XPoint™)",800 GB,E1.S 15mm,"PCIe 4.0 x4, NVMe"
229112,"Intel® Optane™ SSD DC P5810X Series  (800GB, 2.5in PCIe x4, 3D XPoint™)",800 GB,"2.5"" 15mm","PCIe 4.0 x4, NVMe"
229114,"Intel® Optane™ SSD DC P5810X Series  (400GB, 2.5in PCIe x4, 3D XPoint™)",400 GB,"2.5"" 15mm","PCIe 4.0 x4, NVMe"
201840,"Intel® Optane™ SSD DC P5800X Series  (3.2TB, 2.5in PCIe x4, 3D XPoint™)",3.2 TB,"2.5"" 15mm","PCIe 4.0 x4, NVMe"
211867,"Intel® Optane™ SSD P1600X Series  (118GB, M.2 80mm PCIe 3.0 x4, 3D XPoint™)",118 GB,M.2 22 x 80mm,"PCIe 3.0 x4, NVMe"
211868,"Intel® Optane™ SSD P1600X Series  (58GB, M.2 80mm PCIe 3.0 x4, 3D XPoint™)",58 GB,M.2 22 x 80mm,"PCIe 3.0 x4, NVMe"
201859,"Intel® Optane™ SSD DC P5800X Series  (1.6TB, 2.5in PCIe x4, 3D XPoint™)",1.6 TB,"2.5"" 15mm","PCIe 4.0 x4, NVMe"
201861,"Intel® Optane™ SSD DC P5800X Series  (400GB, 2.5in PCIe x4, 3D XPoint™)",400 GB,"2.5"" 15mm","PCIe 4.0 x4, NVMe"
201860,"Intel® Optane™ SSD DC P5800X Series  (800GB, 2.5in PCIe x4, 3D XPoint™)",800 GB,"2.5"" 15mm","PCIe 4.0 x4, NVMe"
129970,"Intel® Optane™ SSD DC D4800X Series  (1.5TB, 2.5in PCIe 2x2, 3D XPoint™)",1.5 TB,U.2 15mm,"PCIe 3.0 2x2 dual port, NVMe"
129969,"Intel® Optane™ SSD DC D4800X Series  (375GB, 2.5in PCIe 2x2, 3D XPoint™)",375 GB,U.2 15mm,"PCIe 3.0 2x2 dual port, NVMe"
129968,"Intel® Optane™ SSD DC D4800X Series  (750GB, 2.5in PCIe 2x2, 3D XPoint™)",750 GB,U.2 15mm,"PCIe 3.0 2x2 dual port, NVMe"
149367,"Intel® Optane™ SSD DC P4801X Series  (100GB, M.2 110MM PCIe x4, 3D XPoint™)",100 GB,M.2 22 x 110mm,"PCIe 3.0 x4, NVMe"
149364,"Intel® Optane™ SSD DC P4801X Series  (200GB, M.2 110MM PCIe x4, 3D XPoint™)",200 GB,M.2 22 x 110mm,"PCIe 3.0 x4, NVMe"
149366,"Intel® Optane™ SSD DC P4801X Series  (375GB, M.2 110MM PCIe x4, 3D XPoint™)",375 GB,M.2 22 x 110mm,"PCIe 3.0 x4, NVMe"
187934,"Intel® Optane™ SSD DC P4800X Series with Intel® Memory Drive Technology  (1.5TB, 1/2 Height PCIe x4, 3D XPoint™)",1.5 TB,HHHL (CEM3.0),"PCIe 3.0 x4, NVMe"
187931,"Intel® Optane™ SSD DC P4800X Series with Intel® Memory Drive Technology  (1.5TB, 2.5in PCIe x4, 3D XPoint™)",1.5 TB,U.2 15mm,"PCIe 3.0 x4, NVMe"
187936,"Intel® Optane™ SSD DC P4800X Series with Intel® Memory Drive Technology  (375GB, 1/2 Height PCIe x4, 3D XPoint™)",375 GB,HHHL (CEM3.0),"PCIe 3.0 x4, NVMe"
187933,"Intel® Optane™ SSD DC P4800X Series with Intel® Memory Drive Technology  (375GB, 2.5in PCIe x4, 3D XPoint™)",375 GB,U.2 15mm,"PCIe 3.0 x4, NVMe"
187930,"Intel® Optane™ SSD DC P4800X Series with Intel® Memory Drive Technology  (750GB, 1/2 Height PCIe x4, 3D XPoint™)",750 GB,HHHL (CEM3.0),"PCIe 3.0 x4, NVMe"
187937,"Intel® Optane™ SSD DC P4800X Series with Intel® Memory Drive Technology  (750GB, 2.5in PCIe x4, 3D XPoint™)",750 GB,U.2 15mm,"PCIe 3.0 x4, NVMe"
149365,"Intel® Optane™ SSD DC P4801X Series  (100GB, 2.5in PCIe x4, 3D XPoint™)",100 GB,U.2 15mm,"PCIe 3.0 x4, NVMe"
97159,"Intel® Optane™ SSD DC P4800X Series  (1.5TB, 1/2 Height PCIe x4, 3D XPoint™)",1.5 TB,HHHL (CEM3.0),"PCIe 3.0 x4, NVMe"
97155,"Intel® Optane™ SSD DC P4800X Series  (1.5TB, 2.5in PCIe x4, 3D XPoint™)",1.5 TB,U.2 15mm,"PCIe 3.0 x4, NVMe"
97154,"Intel® Optane™ SSD DC P4800X Series  (750GB, 2.5in PCIe x4, 3D XPoint™)",750 GB,U.2 15mm,"PCIe 3.0 x4, NVMe"
97164,"Intel® Optane™ SSD DC P4800X Series  (750GB, 1/2 Height PCIe x4, 3D XPoint™)",750 GB,HHHL (CEM3.0),"PCIe 3.0 x4, NVMe"
97161,"Intel® Optane™ SSD DC P4800X Series  (375GB, 2.5in PCIe x4, 3D XPoint™)",375 GB,U.2 15mm,"PCIe 3.0 x4, NVMe"
97162,"Intel® Optane™ SSD DC P4800X Series  (375GB, 1/2 Height PCIe x4, 3D XPoint™)",375 GB,HHHL (CEM3.0),"PCIe 3.0 x4, NVMe"
