Section,Key,Value
Essentials,Product Collection,Intel® Optane™ Persistent Memory 300 Series
Essentials,Capacity,512 GB
Essentials,Code Name,Products formerly Crow Pass
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q1'23
Performance,Power - Max TDP,15 W
Reliability,Operating Temperature Range,0°C to 85°C
Reliability,Max Operating Temperature,85 °C
Reliability,Minimum Operating Temperature,0 °C
Reliability,Warranty Period,5  yrs
Package Specifications,Weight,1.9 oz
Package Specifications,Form Factor,Persistent Memory Module (PMem)
Package Specifications,Interface,DDR-T2
Advanced Technologies,Intel® Memory Bandwidth Boost,Yes
Advanced Technologies,Hardware Encryption,AES 256 bit
