Section,Key,Value
Retired and discontinued,,
"Intel® Pentium® Gold 5405U Processor (2M Cache, 2.30 GHz) FC-BGA14F, Tray",Ordering Code,CL8068404080706
"Intel® Pentium® Gold 5405U Processor (2M Cache, 2.30 GHz) FC-BGA14F, Tray",Spec Code,SRFG1
"Intel® Pentium® Gold 5405U Processor (2M Cache, 2.30 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Pentium® Gold 5405U Processor (2M Cache, 2.30 GHz) FC-BGA14F, Tray",Stepping,V0
"Intel® Pentium® Gold 5405U Processor (2M Cache, 2.30 GHz) FC-BGA14F, Tray",MDDS Content IDs,"706677,707270"
"Intel® Pentium® Gold 5405U Processor (2M Cache, 2.30 GHz) FC-BGA14F, Tray",PCN Content IDs,"809387,803338,809605"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G158870
Trade Compliance Information,US HTS,8542310050
