Section,Key,Value
Ordering and Spec Information,,
"Intel® Pentium® Gold G5500T Processor (4M Cache, 3.20 GHz) FC-LGA14C, Tray",Ordering Code,CM8068403377713
"Intel® Pentium® Gold G5500T Processor (4M Cache, 3.20 GHz) FC-LGA14C, Tray",Spec Code,SR3YE
"Intel® Pentium® Gold G5500T Processor (4M Cache, 3.20 GHz) FC-LGA14C, Tray",Shipping Media,TRAY
"Intel® Pentium® Gold G5500T Processor (4M Cache, 3.20 GHz) FC-LGA14C, Tray",Stepping,B0
"Intel® Pentium® Gold G5500T Processor (4M Cache, 3.20 GHz) FC-LGA14C, Tray",MDDS Content IDs,706493
"Intel® Pentium® Gold G5500T Processor (4M Cache, 3.20 GHz) FC-LGA14C, Tray",PCN Content IDs,"799685,809472,805737,813820"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
