Section,Key,Value
Ordering and Spec Information,,
"Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C, Tray",Ordering Code,CM8068403377513
"Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C, Tray",Spec Code,SR3YB
"Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C, Tray",Shipping Media,TRAY
"Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C, Tray",Stepping,B0
"Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C, Tray",MDDS Content IDs,706458
"Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C, Tray",PCN Content IDs,"805737,799685,809472,813820"
Retired and discontinued,,
"Boxed Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C",Ordering Code,BX80684G5600
"Boxed Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C",Spec Code,SR3YB
"Boxed Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C",Shipping Media,BOX
"Boxed Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C",Stepping,B0
"Boxed Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C",MDDS Content IDs,706964
"Boxed Intel® Pentium® Gold G5600 Processor (4M Cache, 3.90 GHz) FC-LGA14C",PCN Content IDs,"798513,804577,805737"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
