Section,Key,Value
Ordering and Spec Information,,
"Intel® Pentium® Gold G7400E Processor (6M Cache, 3.60 GHz) FC-LGA16A, Tray",Ordering Code,CM8071504653907
"Intel® Pentium® Gold G7400E Processor (6M Cache, 3.60 GHz) FC-LGA16A, Tray",Spec Code,SRL6R
"Intel® Pentium® Gold G7400E Processor (6M Cache, 3.60 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Pentium® Gold G7400E Processor (6M Cache, 3.60 GHz) FC-LGA16A, Tray",Stepping,H0
"Intel® Pentium® Gold G7400E Processor (6M Cache, 3.60 GHz) FC-LGA16A, Tray",MDDS Content IDs,721121
"Intel® Pentium® Gold G7400E Processor (6M Cache, 3.60 GHz) FC-LGA16A, Tray",PCN Content IDs,"800746,798714,805837,811981"
"Intel® Pentium® Gold G7400E Processor (6M Cache, 3.60 GHz) FC-LGA16A, Tray",Recommended Customer Price,$79.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
