Section,Key,Value
Retired and discontinued,,
"Intel® Pentium® Gold Processor 4425Y (2M Cache, 1.70 GHz) FC-BGA14F, Tray",Ordering Code,HE8067702740049
"Intel® Pentium® Gold Processor 4425Y (2M Cache, 1.70 GHz) FC-BGA14F, Tray",Spec Code,SRD24
"Intel® Pentium® Gold Processor 4425Y (2M Cache, 1.70 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Pentium® Gold Processor 4425Y (2M Cache, 1.70 GHz) FC-BGA14F, Tray",Stepping,H0
"Intel® Pentium® Gold Processor 4425Y (2M Cache, 1.70 GHz) FC-BGA14F, Tray",MDDS Content IDs,706276
"Intel® Pentium® Gold Processor 4425Y (2M Cache, 1.70 GHz) FC-BGA14F, Tray",PCN Content IDs,"795943,799822,802966,803214"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G147881
Trade Compliance Information,US HTS,8542310050
