Section,Key,Value
Retired and discontinued,,
"Intel® Pentium® Processor 2030M (2M Cache, 2.50 GHz) FC-PGA12F, Tray",Ordering Code,AW8063801120500
"Intel® Pentium® Processor 2030M (2M Cache, 2.50 GHz) FC-PGA12F, Tray",Spec Code,SR0ZZ
"Intel® Pentium® Processor 2030M (2M Cache, 2.50 GHz) FC-PGA12F, Tray",Shipping Media,TRAY
"Intel® Pentium® Processor 2030M (2M Cache, 2.50 GHz) FC-PGA12F, Tray",Stepping,P0
"Intel® Pentium® Processor 2030M (2M Cache, 2.50 GHz) FC-PGA12F, Tray",MDDS Content IDs,707259
"Intel® Pentium® Processor 2030M (2M Cache, 2.50 GHz) FC-PGA12F, Tray",PCN Content IDs,"799686,799624,802395,799685,813824,805104,809238,811217,813819"
Trade Compliance Information,ECCN,3A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310050
