Section,Key,Value
Retired and discontinued,,
"Intel® Pentium® Processor 3805U (2M Cache, 1.90 GHz) FC-BGA14F, Tray",Ordering Code,FH8065801620702
"Intel® Pentium® Processor 3805U (2M Cache, 1.90 GHz) FC-BGA14F, Tray",Spec Code,SR210
"Intel® Pentium® Processor 3805U (2M Cache, 1.90 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Pentium® Processor 3805U (2M Cache, 1.90 GHz) FC-BGA14F, Tray",Stepping,E0
"Intel® Pentium® Processor 3805U (2M Cache, 1.90 GHz) FC-BGA14F, Tray",MDDS Content IDs,708520
"Intel® Pentium® Processor 3805U (2M Cache, 1.90 GHz) FC-BGA14F, Tray",PCN Content IDs,"799685,802370,802395,804340,805104"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G071701++
Trade Compliance Information,US HTS,8542310050
