Section,Key,Value
Retired and discontinued,,
"Intel® Pentium® Processor 4405Y (2M Cache, 1.50 GHz) FC-BGA14C, Tray",Ordering Code,HE8066201931229
"Intel® Pentium® Processor 4405Y (2M Cache, 1.50 GHz) FC-BGA14C, Tray",Spec Code,SR2ER
"Intel® Pentium® Processor 4405Y (2M Cache, 1.50 GHz) FC-BGA14C, Tray",Shipping Media,TRAY
"Intel® Pentium® Processor 4405Y (2M Cache, 1.50 GHz) FC-BGA14C, Tray",Stepping,D1
"Intel® Pentium® Processor 4405Y (2M Cache, 1.50 GHz) FC-BGA14C, Tray",MDDS Content IDs,706935
"Intel® Pentium® Processor 4405Y (2M Cache, 1.50 GHz) FC-BGA14C, Tray",PCN Content IDs,"795943,799685,803801,805104"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G147881
Trade Compliance Information,US HTS,8542310050
