Section,Key,Value
Retired and discontinued,,
"Intel® Pentium® Processor G4400TE (3M Cache, 2.40 GHz) FC-LGA14C, Tray",Ordering Code,CM8066201938702
"Intel® Pentium® Processor G4400TE (3M Cache, 2.40 GHz) FC-LGA14C, Tray",Spec Code,SR2LT
"Intel® Pentium® Processor G4400TE (3M Cache, 2.40 GHz) FC-LGA14C, Tray",Shipping Media,TRAY
"Intel® Pentium® Processor G4400TE (3M Cache, 2.40 GHz) FC-LGA14C, Tray",Stepping,R0
"Intel® Pentium® Processor G4400TE (3M Cache, 2.40 GHz) FC-LGA14C, Tray",MDDS Content IDs,707611
"Intel® Pentium® Processor G4400TE (3M Cache, 2.40 GHz) FC-LGA14C, Tray",PCN Content IDs,"799624,799685,813833,809472,813820,846571"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
