Section,Key,Value
Retired and discontinued,,
"Intel® Pentium® Processor J2850 (2M Cache, 2.41 GHz) FC-BGA13F, Tray",Ordering Code,FH8065301455104
"Intel® Pentium® Processor J2850 (2M Cache, 2.41 GHz) FC-BGA13F, Tray",Spec Code,SR1LM
"Intel® Pentium® Processor J2850 (2M Cache, 2.41 GHz) FC-BGA13F, Tray",Shipping Media,TRAY
"Intel® Pentium® Processor J2850 (2M Cache, 2.41 GHz) FC-BGA13F, Tray",Stepping,B2
"Intel® Pentium® Processor J2850 (2M Cache, 2.41 GHz) FC-BGA13F, Tray",MDDS Content IDs,706255
"Intel® Pentium® Processor J2850 (2M Cache, 2.41 GHz) FC-BGA13F, Tray",PCN Content IDs,"800030,800583,805104,803212,804340,809238"
Trade Compliance Information,ECCN,3A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310050
