Section,Key,Value
Ordering and Spec Information,,
"Intel® Processor N97 (6M Cache, up to 3.60 GHz) FC-BGA16F, Tray",Ordering Code,FJ8071504742034
"Intel® Processor N97 (6M Cache, up to 3.60 GHz) FC-BGA16F, Tray",Spec Code,SRMLM
"Intel® Processor N97 (6M Cache, up to 3.60 GHz) FC-BGA16F, Tray",Shipping Media,TRAY
"Intel® Processor N97 (6M Cache, up to 3.60 GHz) FC-BGA16F, Tray",Stepping,N0
"Intel® Processor N97 (6M Cache, up to 3.60 GHz) FC-BGA16F, Tray",MDDS Content IDs,766559
"Intel® Processor N97 (6M Cache, up to 3.60 GHz) FC-BGA16F, Tray",Recommended Customer Price,$128.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
