Section,Key,Value
Essentials,Product Collection,Intel® RAID Software
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q1'12
Essentials,Expected Discontinuance,Q2'18
Essentials,EOL Announce,"Monday, May 21, 2018"
Essentials,Last Order,"Wednesday, November 21, 2018"
Essentials,Last Receipt Attributes,"Thursday, February 21, 2019"
Essentials,Data Transfer Rate,3 Gb/s
Essentials,Supported Devices,SATA Only
Essentials,RAID Level Supported,"0, 1, 10, 5"
Essentials,JBOD Mode,No
Essentials,# of Ports Internal,8
Essentials,# of Ports External,0
Essentials,PCIe Host Interface,PCIe x4 Gen1
Essentials,IO Processor Model,C600/610 Chipset
Essentials,Included Items,"(1) White Storage Key, Install Guide for 8port SATA with Intel® ESRT2 RAID  0/1/5/10 and Intel® RSTe RAID 0/1/5/10"
Supplemental Information,Description,"(White) 8port SATA with Intel® ESRT2 RAID  0,1, 5, 10 and Intel® RSTe RAID 0,1,5,10"
