Section,Key,Value
Essentials,Product Collection,Intel® RAID Premium Features
Essentials,Code Name,Products formerly RAID
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q3'13
Essentials,Expected Discontinuance,Q4'19
Essentials,EOL Announce,"Monday, December 31, 2018"
Essentials,Last Order,"Monday, July 1, 2019"
Essentials,Last Receipt Attributes,"Tuesday, October 1, 2019"
Essentials,Target Market,Scalable Performance
Essentials,Board Form Factor,Activation Key
Essentials,Supported Operating Systems,Microsoft Windows Server* 2012Linux
Essentials,Included Items,AXXRPFKHA2 includes two keys necessary to activate HA firmware on two RAID cards.
Supplemental Information,Description,Intel RAID Activation Key HA2 allows two Intel RAID controllers to provide failover for a two servers in a cluster or shared storage environment.
