Section,Key,Value
Essentials,Product Collection,Intel® RAID Backup (Batteries/Flash)
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q1'08
Essentials,Expected Discontinuance,Q4 '16
Essentials,EOL Announce,"Tuesday, November 15, 2016"
Essentials,Last Order,"Monday, May 15, 2017"
Essentials,Last Receipt Attributes,"Friday, September 15, 2017"
Essentials,Long Life,No
Essentials,Target Market,Mainstream
Essentials,Board Form Factor,Battery/RMFBU
Essentials,Included Items,Kit includes remote mounting bracket and cables.
Supplemental Information,Description,Optional RAID Smart battery back up provides 48 hours of cache data retention for use with Intel® RAID Controllers SRCSASBB8I and SRCSASLS4I. RoHS Complaint.
