Section,Key,Value
Essentials,Product Collection,Intel® Server Board S2600ST
Essentials,Code Name,Products formerly Sawtooth
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q2'19
Essentials,Expected Discontinuance,2023
Essentials,EOL Announce,"Friday, May 5, 2023"
Essentials,Last Order,"Friday, June 30, 2023"
Essentials,Limited 3-year Warranty,Yes
Essentials,Extended Warranty Available for Purchase (Select Countries),Yes
Essentials,Additional Extended Warranty Details,Dual Processor Board Extended Warranty
Essentials,# of QPI Links,2
Essentials,Supported Operating Systems,"VMware*, Windows Server 2019*, Windows Server 2016*, Red Hat Enterprise Linux 7.6*, Red Hat Enterprise Linux 7.5*, SUSE Linux Enterprise Server 15*, SUSE Linux Enterprise Server 12 SP4*, Ubuntu*"
Essentials,Compatible Product Series,2nd Generation Intel® Xeon® Scalable Processors
Essentials,Board Form Factor,SSI EEB (12 x 13 in)
Essentials,Chassis Form Factor,Rack or Pedestal
Essentials,Socket,Socket P
Essentials,Integrated Systems Available,No
Essentials,Integrated BMC with IPMI,IPMI 2.0 & Redfish
Essentials,Rack-Friendly Board,Yes
Essentials,TDP,205 W
Essentials,Included Items,(1) Intel® Server Board S2600STBR(2) SATA cables 880.00mm(1) IO shield(1) Protective insulator(1) Configuration label (sticker to be added to chassis)
Essentials,Board Chipset,Intel® C624 Chipset
Essentials,Target Market,Small and Medium Business
Supplemental Information,Embedded Options Available,No
Supplemental Information,Datasheet,View now
Supplemental Information,Description,"A standard form factor server board supporting two 2nd Generation Intel® Xeon® Scalable Processors, up to 205 W TDP, 16 DIMMs, and Dual 10GBase-T ports."
Memory Specifications,Max Memory Size (dependent on memory type),2 TB
Memory Specifications,Memory Types,DDR4 ECC RDIMM/LRDIMM 2133/2400/2666/2933
Memory Specifications,Max # of Memory Channels,16
Memory Specifications,# of Memory Slots,16
Memory Specifications,ECC Memory Supported‡,Yes
GPU Specifications,Integrated Graphics‡,No
GPU Specifications,Graphics Output,VGA
Expansion Options,PCI Express Revision,3.0
Expansion Options,Max # of PCI Express Lanes,96
Expansion Options,PCIe x8 Gen 3,3
Expansion Options,PCIe x16 Gen 3,3
Expansion Options,PCIe OCuLink Connectors (NVMe support),4
I/O Specifications,# of USB Ports,7
I/O Specifications,USB Revision,2.0 & 3.0
I/O Specifications,Total # of SATA Ports,12
I/O Specifications,RAID Configuration,SW RAID 0/1/10 (5 optional)
I/O Specifications,# of Serial Ports,1
I/O Specifications,# of LAN Ports,2
I/O Specifications,Integrated LAN,(Optional) two 10 Gb SFP+ connectors
Package Specifications,Max CPU Configuration,2
Advanced Technologies,Intel® Optane™ Memory Supported‡,No
Advanced Technologies,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Advanced Technologies,Intel® Remote Management Module Support,Yes
Advanced Technologies,Intel® Node Manager,Yes
Advanced Technologies,TPM Version,2.0 (optional)
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Trusted Execution Technology‡,Yes
