Section,Key,Value
Essentials,Product Collection,Intel® Server Board S2600ST
Essentials,Code Name,Products formerly Sawtooth
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q3'17
Essentials,Expected Discontinuance,Q3'19
Essentials,EOL Announce,"Monday, April 22, 2019"
Essentials,Last Order,"Thursday, August 22, 2019"
Essentials,Limited 3-year Warranty,Yes
Essentials,Extended Warranty Available for Purchase (Select Countries),Yes
Essentials,Additional Extended Warranty Details,Dual Processor Board Extended Warranty
Essentials,Compatible Product Series,Intel® Xeon® Scalable Processors
Essentials,Board Form Factor,SSI EEB (12 x 13 in)
Essentials,Chassis Form Factor,Rack or Pedestal
Essentials,Socket,Socket P
Essentials,Integrated Systems Available,No
Essentials,Integrated BMC with IPMI,IPMI 2.0 & Redfish
Essentials,Rack-Friendly Board,Yes
Essentials,TDP,205 W
Essentials,Included Items,(1) Intel® Server Board S2600STB.(2) SATA cables 880.00mm(1) IO shield(1) Protective insulator(1) Configuration label (sticker to be added to chassis)
Essentials,Board Chipset,Intel® C624 Chipset
Essentials,Target Market,Small and Medium Business
Supplemental Information,Embedded Options Available,No
Supplemental Information,Datasheet,View now
Supplemental Information,Description,"A standard form factor server board supporting two Intel® Xeon® Scalable Processors, up to 205 W TDP, 16 DIMMs, and Dual 10GBase-T ports."
Memory Specifications,Max Memory Size (dependent on memory type),1.46 TB
Memory Specifications,Memory Types,DDR4 ECC RDIMM/LRDIMM 2133/2400/2666
Memory Specifications,Max # of Memory Channels,12
Memory Specifications,# of Memory Slots,16
Memory Specifications,ECC Memory Supported‡,Yes
GPU Specifications,Integrated Graphics‡,No
GPU Specifications,Graphics Output,VGA
Expansion Options,PCI Express Revision,3.0
Expansion Options,Max # of PCI Express Lanes,96
Expansion Options,PCIe x8 Gen 3,3
Expansion Options,PCIe x16 Gen 3,3
Expansion Options,PCIe OCuLink Connectors (NVMe support),4
I/O Specifications,# of USB Ports,7
I/O Specifications,USB Revision,2.0 & 3.0
I/O Specifications,Total # of SATA Ports,12
I/O Specifications,RAID Configuration,SW RAID 0/1/10 (5 optional)
I/O Specifications,# of Serial Ports,1
I/O Specifications,# of LAN Ports,2
I/O Specifications,Integrated LAN,(Optional) two 10 Gb SFP+ connectors
I/O Specifications,Integrated SAS Ports,0
Package Specifications,Max CPU Configuration,2
Advanced Technologies,Intel® Optane™ Memory Supported‡,Yes
Advanced Technologies,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Advanced Technologies,Intel® Remote Management Module Support,Yes
Advanced Technologies,Intel® Node Manager,Yes
Advanced Technologies,Intel® Quiet System Technology,No
Advanced Technologies,Intel® HD Audio Technology,No
Advanced Technologies,Intel® Rapid Storage Technology enterprise,Yes
Advanced Technologies,Intel® Fast Memory Access,Yes
Advanced Technologies,Intel® Flex Memory Access,Yes
Advanced Technologies,Intel® I/O Acceleration Technology,Yes
Advanced Technologies,Intel® Advanced Management Technology,Yes
Advanced Technologies,Intel® Server Customization Technology,Yes
Advanced Technologies,Intel® Build Assurance Technology,Yes
Advanced Technologies,Intel® Efficient Power Technology,Yes
Advanced Technologies,Intel® Quiet Thermal Technology,Yes
Advanced Technologies,TPM Version,2.0
Security & Reliability,Intel® AES New Instructions,Yes
