Section,Key,Value
Essentials,Product Collection,Intel® Server Board S2600WFR
Essentials,Code Name,Products formerly Wolf Pass
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q3'17
Essentials,Expected Discontinuance,Q3'19
Essentials,EOL Announce,"Monday, April 22, 2019"
Essentials,Last Order,"Thursday, August 22, 2019"
Essentials,Last Receipt Attributes,"Sunday, December 22, 2019"
Essentials,Limited 3-year Warranty,Yes
Essentials,Extended Warranty Available for Purchase (Select Countries),Yes
Essentials,Additional Extended Warranty Details,Dual Processor Board Extended Warranty
Essentials,Supported Operating Systems,"VMware*, Windows Server 2019*, Windows Server 2016*, Red Hat Enterprise Linux 7.6*, Red Hat Enterprise Linux 7.5*, SUSE Linux Enterprise Server 15*, SUSE Linux Enterprise Server 12 SP4*, Ubuntu*"
Essentials,Compatible Product Series,Intel® Xeon® Scalable Processors
Essentials,Board Form Factor,"Custom 16.7"" x 17"""
Essentials,Chassis Form Factor,Rack
Essentials,Socket,Socket P
Essentials,Integrated Systems Available,Yes
Essentials,Integrated BMC with IPMI,IPMI 2.0 with OEM extensions
Essentials,Rack-Friendly Board,Yes
Essentials,TDP,205 W
Essentials,Included Items,(1) Intel® Server Board S2600WFT w/two 10Gb ports(4) on board PCIe* NVMe OCuLink Connectors
Essentials,Board Chipset,Intel® C624 Chipset
Essentials,Target Market,Mainstream
Supplemental Information,Embedded Options Available,No
Supplemental Information,Datasheet,View now
Supplemental Information,Description,A rack optimized server board supporting two Intel® Xeon® processor Scalable family up to 205W 24 DIMMs and two 10-Gb ethernet ports
Memory Specifications,Max Memory Size (dependent on memory type),1.46 TB
Memory Specifications,Memory Types,DDR4 ECC RDIMM/LRDIMM 2133/2400/2666
Memory Specifications,Max # of Memory Channels,12
Memory Specifications,# of Memory Slots,24
Memory Specifications,ECC Memory Supported‡,Yes
GPU Specifications,Integrated Graphics‡,No
GPU Specifications,Graphics Output,VGA
Expansion Options,PCI Express Revision,3.0
Expansion Options,Max # of PCI Express Lanes,96
Expansion Options,PCIe x8 Gen 3,6
Expansion Options,PCIe x16 Gen 3,3
Expansion Options,PCIe OCuLink Connectors (NVMe support),4
Expansion Options,Connector for Intel® Integrated RAID Module,1
Expansion Options,Riser Slot 1: Total # of Lanes,24
Expansion Options,Riser Slot 2: Total # of Lanes,24
Expansion Options,Riser Slot 3: Total # of Lanes,12
I/O Specifications,# of USB Ports,8
I/O Specifications,USB Revision,2.0 & 3.0
I/O Specifications,Total # of SATA Ports,12
I/O Specifications,RAID Configuration,SW RAID 0/1/10 (5 optional)
I/O Specifications,# of Serial Ports,2
I/O Specifications,# of LAN Ports,2
I/O Specifications,Integrated LAN,Dual Port RJ45 10 GbE
Package Specifications,Max CPU Configuration,2
Advanced Technologies,Intel® Optane™ Memory Supported‡,Yes
Advanced Technologies,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Advanced Technologies,Intel® Remote Management Module Support,Yes
Advanced Technologies,Intel® Node Manager,Yes
Advanced Technologies,TPM Version,2.0 (optional)
Intel® Transparent Supply Chain,Includes Statement of Conformance and Platform Certificate,No
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Trusted Execution Technology‡,Yes
