Section,Key,Value
Essentials,Product Collection,Intel® Server Chassis H2000P Family
Essentials,Code Name,Products formerly Buchanan Pass
Essentials,Launch Date,Q3'17
Essentials,Marketing Status,Discontinued
Essentials,Expected Discontinuance,2023
Essentials,EOL Announce,"Friday, May 5, 2023"
Essentials,Last Order,"Friday, June 30, 2023"
Essentials,Limited 3-year Warranty,Yes
Essentials,Extended Warranty Available for Purchase (Select Countries),Yes
Essentials,Chassis Form Factor,"2U, 4 node Rack Chassis"
Essentials,Chassis Dimensions,"3.46"" x 17.24"" x 30.35"""
Essentials,Target Market,High Performance Computing
Essentials,Power Supply,2130 W
Essentials,Power Supply Type,AC
Essentials,# of Power Supply Included,2
Essentials,Redundant Fans,No
Essentials,Redundant Power Supported,Yes
Essentials,Backplanes,Included
Essentials,Included Items,"(1) Front Control Panels - iPC FH2000FPANEL2(1) Power Distribution Board - iPC FXXCRPSPDB2(2) 2130W 80 Plus Platinum PSUs – iPC FXX2130PCRPS(1) 12 x 3.5’’ Hot-swap drive bay, includes:- (12) Tool less drive carriers, iPC - TBD- (1) 12x3.5” Hot swap backplane, iPC- FHW12X35HS12G(4) - Compute Module Bay Fillers(1) - Basic rack rail mount kit (AXXELVRAIL)NOTE: The rail kit only supports specific rack type with 3/8” square and 7.1mm round holes."
Supplemental Information,Description,"2U rack chassis supporting up to four hot-pluggable compute modules Intel(r) Compute Module HNS2600BP product family, up to 12 hot-swap drives, and two 2130W common redundant power supplies"
Memory & Storage,# of Front Drives Supported,12
Memory & Storage,Front Drive Form Factor,"Hot-swap 3.5"" HDD or 2.5"" SSD"
Package Specifications,Max CPU Configuration,8
