Section,Key,Value
Essentials,Product Collection,Intel® Server Chassis P4000G Family
Essentials,Code Name,Products formerly Union Peak
Essentials,Launch Date,Q4'14
Essentials,Marketing Status,Discontinued
Essentials,Expected Discontinuance,Q1'18
Essentials,EOL Announce,"Tuesday, March 27, 2018"
Essentials,Last Order,"Sunday, July 1, 2018"
Essentials,Last Receipt Attributes,"Monday, October 1, 2018"
Essentials,Limited 3-year Warranty,Yes
Essentials,Extended Warranty Available for Purchase (Select Countries),Yes
Essentials,Chassis Form Factor,4U Rack or Pedestal
Essentials,Chassis Dimensions,"17.24"" x 24.9"" x 6.81"""
Essentials,Target Market,Embedded
Essentials,Power Supply,550 W
Essentials,Power Supply Type,AC
Essentials,# of Power Supply Included,1
Essentials,Redundant Fans,No
Essentials,Redundant Power Supported,No
Essentials,Backplanes,Sold Separately
Essentials,Included Items,(1) standard control panel (FXXFPANEL); (2) Fixed120mm system fans (FUPNHFANCPU); (1) 550W fixed power supply (FUP550SNRPS); (1) MiniSAS HD to 4 ports SATA 7 pins cable (AXXCBL450HD7S); (4) fixed 3.5 inch drive sleds (FUP4X35NHDK); (4) fixed power connectors; (1) processor/memory airduct (A4UCWDUCT); (1) fixed bezel (FUPBEZELFIX2)
Supplemental Information,Description,4U pedestal chassis designed specifically for the Intel® Server Board S2600CW family supporting up to four 3.5 inch fixed drives.
Memory & Storage,# of Front Drives Supported,4
Memory & Storage,Front Drive Form Factor,"Fixed 2.5"" or 3.5"""
Package Specifications,Max CPU Configuration,2
