Section,Key,Value
Essentials,Product Collection,Intel® Stratix® Development Kits
Essentials,Marketing Status,Launched
Essentials,Launch Date,2017
Essentials,Featured FPGA,Intel® Stratix® 10 MX FPGA 1SM21BHU2F53E1VG
Essentials,Logic Elements (LE),2073000
Essentials,On-chip Memory,239.5 Mb
Essentials,DSP Blocks,3960
Essentials,FPGA Package,F53
Essentials,Board Type,PCIe
Essentials,Ordering Part Number,DK-DEV-1SMX-H-A
Essentials,Distributor Availability,ArrowDigiKeyMouser
Board Specifications,Interfaces,"PCIe, QSFP, JTAG, USB"
Board Specifications,Expansion,"DIMM, HiLo"
Board Specifications,Memory,"DDR4, DDR-T, QDRIV, HBM2"
Board Specifications,Special Feature,Maximum High Bandwidth Memory (HBM) 8 GB
Board Specifications,Versions,Production H-Tile 8 GB HBM2
Supplemental Information,Description,Intel® Stratix® 10 MX FPGA Development Kit includes all the hardware and software you need to start taking advantage of the performance and capabilities available in Intel® Stratix® 10 MX FPGAs.
Supplemental Information,User Guide,View now
