Section,Key,Value
Ordering and Spec Information,,
Intel® FH82W480E Platform Controller Hub,Ordering Code,FH82W480E
Intel® FH82W480E Platform Controller Hub,Spec Code,SRJ7Y
Intel® FH82W480E Platform Controller Hub,Shipping Media,T&R
Intel® FH82W480E Platform Controller Hub,Stepping,A0
Intel® FH82W480E Platform Controller Hub,MDDS Content IDs,708785
Intel® FH82W480E Platform Controller Hub,PCN Content IDs,"806826,809472,826062"
Intel® FH82W480E Platform Controller Hub,Recommended Customer Price,$56.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G158870
Trade Compliance Information,US HTS,8542310030
