Section,Key,Value
Essentials,Product Collection,Intel® Wi-Fi 7 Series
Essentials,Marketing Status,Launched
Essentials,Launch Date,Q2'24
Essentials,Weight (in grams),2230: 3.06+/-0.14g 1216: 0.73+/-0.02g
Essentials,Operating Temperature Range,0 °C to 50 °C
Essentials,Max Operating Temperature,50 °C
Essentials,Minimum Operating Temperature,0 °C
Essentials,Supported Operating Systems,"Windows 11*, Windows 10*, Linux*"
Essentials,Antenna,2x2
Supplemental Information,Product Brief,View now
Networking Specifications,TX/RX Streams,"2x2, 320 MHz, 4096 QAM"
Networking Specifications,Bands,"2.4GHz, 5GHz and 6GHz"
Networking Specifications,Max Speed,5.8 Gbps
Networking Specifications,Wi-Fi CERTIFIED*,Wi-Fi 7
Networking Specifications,Compliance,FIPS
Networking Specifications,Bluetooth Version,5.4
Package Specifications,Board Form Factor,"M.2 2230, M.2 1216"
Package Specifications,Package Size,M.2 2230: 22mm x 30mm x 2.42mm (max) M.2 1216: 12mm x 16mm x 1.7 (+-0.1) mm
Package Specifications,System Interface Type,M.2: CNVio37
Advanced Technologies,MU-MIMO,Yes
Advanced Technologies,Orthogonal Frequency-Division Multiple Access (OFDMA),Yes
Advanced Technologies,Supported Under Intel vPro® Technology,Yes
